,price,bedrooms,bathrooms,m2_living,m2_lot,floors,waterfront,view,condition,grade,m2_above,m2_basement,yr_built,yr_renovated,zipcode
29,719.0,4,2.5,238.76071,666.393219,2.0,0,0,3,8,238.76071,0.0,2005,0,98052
30,580.5,3,2.5,215.53496,369.75394,2.0,0,0,3,8,215.53496,0.0,2003,0,98027
31,280.0,2,1.5,110.55457,117.522295,3.0,0,0,3,7,110.55457,0.0,2005,0,98133
32,687.5,4,1.75,216.46399,464.515,1.5,0,0,4,7,140.28353,76.18046,1929,0,98117
33,535.0,3,1.0,101.26427,278.709,1.5,0,0,4,8,101.26427,0.0,1929,0,98117
34,322.5,4,2.75,191.38018,618.641077,1.0,0,0,3,7,118.91584,72.46433999999999,1981,0,98058
35,696.0,3,2.5,213.6769,284.28318,1.5,0,0,3,8,140.28353,73.39337,1930,2002,98115
36,550.0,4,1.0,154.21898,3237.483744,1.0,0,0,1,5,86.39979,67.81919,1933,0,98052
37,640.0,4,2.0,219.25108,557.418,2.0,0,0,4,8,219.25108,0.0,1904,0,98107
38,240.0,4,1.0,113.34166,750.191725,1.0,0,0,2,7,82.68367,30.657989999999998,1969,0,98001
39,605.0,4,2.5,243.40586,701.696359,2.0,0,0,3,8,243.40586,0.0,1996,0,98056
40,625.0,4,2.5,238.76071,512.82456,2.0,0,0,3,9,238.76071,0.0,2000,0,98074
41,775.0,4,2.25,392.05066,2246.951958,1.0,0,0,3,8,241.5478,150.50286,1984,0,98166
42,861.99,5,2.75,333.986285,523.880017,2.0,0,0,3,9,333.986285,0.0,2014,0,98053
43,685.0,3,1.0,145.85771,211.81884,2.0,0,0,3,7,145.85771,0.0,1922,0,98119
44,309.0,3,1.0,118.91584,897.071368,1.0,0,0,4,6,85.47076,33.44508,1959,0,98058
45,488.0,3,2.5,293.57348,1263.759509,2.0,0,0,3,8,293.57348,0.0,2003,0,98019
46,210.49,3,1.0,91.97397,792.276784,1.0,0,0,3,6,91.97397,0.0,1966,0,98023
47,785.0,4,2.5,212.74787,1246.386648,2.0,0,0,4,9,212.74787,0.0,1981,0,98007
48,450.0,3,1.75,116.12875,553.980589,1.0,0,0,4,7,116.12875,0.0,1953,0,98115
50,228.0,3,1.0,110.55457,854.614697,1.0,0,0,3,7,110.55457,0.0,1955,0,98148
51,345.0,5,2.5,292.64445,848.576002,1.0,0,0,4,8,152.36092,140.28353,1966,0,98056
52,600.0,3,1.75,130.99323,379.04424,1.0,0,0,4,7,92.903,38.09023,1950,0,98117
53,585.0,2,1.75,183.94794,794.32065,1.0,0,0,3,7,91.97397,91.97397,1981,0,98117
54,920.0,5,2.25,253.62519,557.418,1.5,0,0,3,8,197.88339,55.7418,1927,0,98105
55,885.0,4,2.5,262.91549,464.515,2.0,0,0,3,9,262.91549,0.0,1995,0,98105
56,292.5,4,2.5,209.03175,417.59898499999997,2.0,0,0,3,7,209.03175,0.0,2008,0,98042
57,301.0,3,2.5,224.82526,441.28925,2.0,0,0,3,8,224.82526,0.0,2003,0,98042
58,951.0,5,3.25,301.93475,1332.414826,2.0,0,4,4,8,301.93475,0.0,1968,0,98008
59,430.0,4,3.0,171.87055,926.800328,2.0,0,0,3,8,171.87055,0.0,1991,0,98059
60,650.0,3,2.25,199.74145,1972.795205,1.0,0,3,4,8,147.71577,52.02568,1959,0,98166
61,289.0,3,1.75,117.05778,780.3851999999999,1.0,0,0,3,7,117.05778,0.0,1954,0,98148
62,505.0,3,1.75,234.022657,807.32707,2.0,0,0,5,8,234.022657,0.0,1973,0,98166
63,549.0,3,1.75,143.07062,96.990732,3.0,0,0,3,8,143.07062,0.0,2014,0,98115
64,425.0,3,2.25,154.21898,557.418,1.0,0,0,3,7,103.12233,51.09665,1979,0,98122
65,317.625,3,2.75,257.34131,353.867527,1.5,0,0,5,7,164.43831,92.903,1925,0,98144
66,975.0,4,2.5,252.69616,1026.485247,2.0,0,0,3,10,252.69616,0.0,1989,0,98004
67,287.0,4,2.5,208.10272,431.813144,2.0,0,0,3,7,208.10272,0.0,2005,0,98001
68,204.0,3,1.0,92.903,1121.33921,1.0,0,0,4,7,92.903,0.0,1968,0,98042
70,1040.0,5,3.25,443.14731,4653.882882,1.0,0,0,4,11,285.21220999999997,157.9351,1973,0,98005
71,325.0,3,2.0,117.05778,521.371636,1.0,0,0,4,7,117.05778,0.0,1972,0,98034
72,571.0,4,2.0,255.48325,725.293721,1.5,0,0,5,7,209.03175,46.4515,1916,0,98125
73,360.0,4,2.5,221.10914,464.515,2.0,0,0,3,8,221.10914,0.0,2005,0,98038
74,349.0,3,1.75,166.29637,4694.295687,1.0,0,0,5,7,101.26427,65.0321,1965,0,98042
75,832.5,4,4.0,318.65729,3261.081106,2.0,0,0,4,10,222.03817,96.61912,1986,0,98075
76,380.0,4,1.75,163.50928,678.1919,1.0,0,0,3,7,81.75464,81.75464,1956,0,98008
77,480.0,3,1.0,96.61912,470.08918,1.0,0,0,3,7,96.61912,0.0,1941,0,98116
78,410.0,3,1.0,130.99323,470.08918,1.0,0,0,4,7,84.54173,46.4515,1956,0,98133
79,720.0,4,2.5,320.51535,3686.669749,2.0,0,0,3,10,320.51535,0.0,2002,0,98010
80,390.0,3,2.5,218.32205,473.8053,2.0,0,0,3,8,218.32205,0.0,2003,0,98038
81,360.0,4,2.5,176.5157,547.105767,2.0,0,0,3,7,176.5157,0.0,1992,0,98038
82,355.0,2,1.0,187.66406,624.30816,1.0,0,0,3,7,93.83203,93.83203,1948,0,98118
83,356.0,3,1.5,156.07704,809.370936,1.0,0,0,3,8,156.07704,0.0,1964,0,98059
84,315.0,3,1.0,89.18688,616.318502,1.0,0,0,3,6,89.18688,0.0,1952,0,98125
85,940.0,3,1.5,198.81242,334.4508,2.0,0,0,3,9,176.5157,22.29672,1925,0,98119
86,305.0,5,2.25,247.12198,780.3851999999999,1.5,0,0,5,7,247.12198,0.0,1961,0,98092
87,461.0,3,3.25,257.34131,583.245034,2.0,0,0,3,9,183.94794,73.39337,2006,0,98056
88,215.0,2,2.25,149.57383,189.52212,2.0,0,0,4,7,149.57383,0.0,1979,0,98056
89,335.0,2,1.75,95.69009,99.034598,2.0,0,0,3,7,71.070795,24.619295,2006,0,98136
90,243.5,4,2.5,183.94794,687.760909,2.0,0,0,3,7,183.94794,0.0,1988,0,98023
91,1099.88,5,2.75,327.01856,590.212759,2.0,0,0,4,10,327.01856,0.0,2001,0,98199
92,153.0,3,1.0,111.4836,975.4815,1.0,0,0,3,7,111.4836,0.0,1962,0,98023
93,430.0,3,1.5,146.78674,464.515,1.0,0,0,3,8,119.84487,26.94187,1939,0,98117
94,700.0,3,1.5,146.78674,464.515,1.0,0,0,3,8,119.84487,26.94187,1939,0,98117
95,905.0,4,2.5,306.5799,952.25575,1.0,0,0,3,7,222.03817,84.54173,1946,1991,98040
96,247.5,3,1.75,182.08988,1456.811943,1.0,0,0,3,7,182.08988,0.0,1967,0,98032
97,199.0,4,1.5,107.76748,594.5792,1.0,0,0,4,7,107.76748,0.0,1975,0,98023
98,314.0,3,1.75,168.15443,3883.3454,1.0,0,0,5,7,112.41263,55.7418,1980,0,98038
99,437.5,3,2.5,215.53496,3423.196841,2.0,0,2,3,9,215.53496,0.0,1992,0,98045
100,850.83,3,2.5,192.30921,1230.128623,1.5,0,0,5,9,117.98681,74.3224,1910,0,98102
101,555.0,3,2.0,183.94794,323.116634,1.5,0,0,4,7,133.78032,50.16762,1929,0,98117
102,699.95,3,2.25,203.45757,9995.712479,2.0,0,0,4,8,203.45757,0.0,1983,0,98077
103,1088.0,3,2.5,271.27676,753.722039,2.0,0,0,3,8,271.27676,0.0,1950,2010,98004
104,290.0,3,1.0,112.41263,3151.176857,1.0,0,0,3,7,112.41263,0.0,1954,0,98058
105,375.0,3,2.5,217.39302,929.494515,1.0,0,0,4,8,135.63838,81.75464,1978,0,98058
106,460.0,3,1.0,155.14801,372.076515,1.5,0,0,4,7,108.69651,46.4515,1939,0,98117
107,188.5,2,1.75,115.19972,231.607179,1.0,0,0,4,8,115.19972,0.0,1985,0,98198
108,680.0,4,2.5,291.71542,2604.721411,2.0,0,0,4,10,291.71542,0.0,1991,0,98077
109,470.0,5,1.75,188.59309,1146.608826,2.0,0,0,4,7,188.59309,0.0,1942,0,98052
110,597.75,4,2.5,214.60593,894.098472,2.0,0,0,3,8,214.60593,0.0,1984,0,98027
111,570.0,3,1.75,117.05778,309.181184,1.0,0,0,5,6,65.0321,52.02568,1905,0,98103
112,272.5,3,1.75,143.07062,1170.5778,1.0,0,0,4,7,107.76748,35.30314,1980,0,98038
113,329.95,3,1.75,193.23824,554.538007,1.0,0,2,3,7,100.33524,92.903,1971,0,98108
114,480.0,4,2.5,300.07669,1502.334413,2.0,0,3,3,9,234.11556,65.96113,2001,0,98001
115,740.5,3,3.5,406.91514,589.93405,2.0,0,0,3,8,258.27034,148.6448,1900,1999,98117
116,518.5,3,3.5,147.71577,102.379106,3.0,0,0,3,8,147.71577,0.0,2010,0,98103
117,205.425,2,1.0,81.75464,629.88234,1.0,0,0,4,6,81.75464,0.0,1945,0,98178
118,171.8,4,2.0,145.85771,891.8688,1.0,0,0,3,6,145.85771,0.0,1950,0,98168
119,535.0,4,1.0,149.57383,277.036746,1.5,0,0,4,7,149.57383,0.0,1925,0,98144
120,660.0,3,2.5,222.9672,601.454022,1.0,0,2,3,8,144.92867999999999,78.03852,1964,0,98177
121,391.5,3,2.0,134.70935,848.390196,1.0,0,0,3,7,134.70935,0.0,1987,0,98034
122,395.0,2,1.0,71.53531,557.418,1.0,0,0,3,6,71.53531,0.0,1953,0,98117
123,445.0,4,1.75,195.09629999999999,408.7732,1.5,0,0,5,7,159.79316,35.30314,1924,0,98118
124,770.0,3,2.25,270.34773,947.982212,2.0,0,0,3,9,270.34773,0.0,1990,0,98052
126,445.0,3,2.25,195.09629999999999,761.897503,1.0,0,2,3,8,150.50286,44.59344,1967,0,98178
127,260.0,4,2.25,200.67048,818.5683329999999,1.0,0,0,3,8,126.34808,74.3224,1978,0,98023
128,822.5,5,3.5,215.53496,460.79888,2.0,0,0,5,7,159.79316,55.7418,1926,0,98103
129,430.0,4,2.5,192.30921,400.41193,2.0,0,0,3,7,192.30921,0.0,2004,0,98065
130,212.0,3,1.75,98.47718,731.611125,1.0,0,0,4,7,98.47718,0.0,1986,0,98092
131,660.5,4,2.25,186.73503,892.147509,1.0,0,0,3,8,133.78032,52.95471,1986,0,98027
132,784.0,3,3.5,366.96685,10319.479434,1.5,0,0,3,9,228.54138,138.42547,1989,0,98052
133,453.246,3,2.5,186.73503,212.46916099999999,2.0,0,0,3,8,129.13517,57.59986,2014,0,98029
134,675.0,4,3.5,198.81242,211.633034,3.0,0,0,3,9,198.81242,0.0,2005,0,98107
135,199.0,3,1.75,122.63195999999999,1615.5831699999999,1.0,0,0,4,7,122.63195999999999,0.0,1956,0,98003
136,220.0,4,1.75,187.66406,728.35952,1.0,0,0,3,7,93.83203,93.83203,1968,0,98003
137,452.0,4,2.25,240.61877,929.215806,1.0,0,0,4,8,124.49002,116.12875,1968,0,98028
138,382.5,2,1.0,110.55457,412.48932,1.0,0,0,3,6,110.55457,0.0,1981,0,98125
139,519.95,3,2.25,108.69651,116.035847,3.0,0,0,3,8,108.69651,0.0,2014,0,98107
140,665.0,2,1.0,103.12233,297.2896,1.0,0,0,3,7,103.12233,0.0,1925,0,98119
141,527.7,5,2.5,261.98646,870.965625,1.0,0,0,4,8,143.99965,117.98681,1968,0,98006
142,205.0,3,1.0,149.57383,797.0148369999999,1.0,0,0,4,7,93.83203,55.7418,1962,0,98058
143,420.0,3,1.0,98.47718,752.235591,1.0,0,0,4,7,87.32882,11.14836,1923,0,98133
144,500.0,4,2.25,188.59309,791.254851,1.0,0,0,4,8,128.20614,60.38695,1961,0,98006
145,921.5,4,2.5,340.95401,29299.190722,2.0,0,0,4,9,340.95401,0.0,1994,0,98077
146,890.0,4,1.0,236.90265,371.612,2.0,0,0,3,8,220.18010999999998,16.72254,1905,0,98109
147,430.0,2,2.5,224.82526,5665.596552,2.0,0,0,3,7,224.82526,0.0,2007,0,98027
148,258.0,5,2.0,209.96078,1161.2875,1.0,0,0,4,8,104.98039,104.98039,1960,0,98032
149,511.0,3,1.0,132.85129,320.979865,1.0,0,0,3,7,91.04494,41.80635,1947,0,98103
150,532.17,3,2.0,126.34808,287.07027,2.0,0,0,3,8,126.34808,0.0,1990,0,98103
151,560.0,3,1.0,103.12233,464.515,1.5,0,0,3,7,103.12233,0.0,1947,0,98107
152,282.95,3,1.0,116.12875,761.8046,1.0,0,0,4,7,116.12875,0.0,1954,0,98003
154,350.0,1,1.0,65.0321,473.8053,1.0,0,0,3,7,65.0321,0.0,1942,0,98115
155,215.0,3,1.0,109.62554,712.473107,1.0,0,0,4,7,109.62554,0.0,1967,0,98058
156,650.0,5,3.5,367.89588,2345.3362349999998,2.0,0,0,3,9,232.2575,135.63838,1996,0,98056
157,320.0,4,2.75,245.26391999999998,696.7725,1.0,0,0,3,8,150.50286,94.76106,1967,0,98023
158,247.0,3,2.0,117.98681,668.715794,1.5,0,0,3,7,117.98681,0.0,1916,2013,98022
159,320.0,4,1.75,163.50928,1038.65554,1.0,0,0,4,8,163.50928,0.0,1968,0,98059
160,255.0,5,2.25,191.38018,801.938696,1.0,0,0,3,7,95.69009,95.69009,1962,0,98146
161,438.0,3,1.75,165.36734,897.44298,1.0,0,0,3,7,165.36734,0.0,1962,0,98034
162,900.0,3,2.5,315.8702,1542.468509,2.0,0,0,3,10,315.8702,0.0,2000,0,98075
163,441.0,3,2.75,177.44473,676.33384,1.0,0,0,3,7,107.76748,69.67725,1979,0,98034
164,420.0,3,2.0,187.66406,3561.157796,1.0,0,0,4,7,93.83203,93.83203,1975,0,98027
165,370.0,3,1.75,146.78674,650.321,1.0,0,0,3,7,109.62554,37.1612,1976,0,98034
166,269.95,2,1.75,124.49002,673.54675,1.0,0,0,5,5,65.0321,59.45792,1949,0,98198
167,807.1,4,2.5,248.98004,417.970597,2.0,0,0,3,9,248.98004,0.0,1999,0,98006
168,653.0,3,2.5,248.98004,905.80425,1.0,0,0,4,8,149.57383,99.40621,1979,0,98034
169,371.5,3,2.0,127.27711,774.439408,1.0,0,0,5,7,127.27711,0.0,1964,0,98133
170,284.0,3,1.75,144.92867999999999,1950.963,1.0,0,0,3,7,144.92867999999999,0.0,1954,0,98166
171,272.0,3,1.75,200.67048,663.32742,1.0,0,0,4,7,155.14801,45.52247,1978,0,98023
172,313.0,3,1.5,124.49002,735.048536,1.5,0,0,3,7,124.49002,0.0,1955,0,98133
173,917.5,4,2.5,360.46364,3251.883709,2.0,0,0,3,10,238.76071,121.70293,1984,0,98033
174,673.0,4,2.25,240.61877,760.87557,2.0,0,0,4,8,240.61877,0.0,1980,0,98006
175,425.0,3,2.5,104.05136,102.1933,2.0,0,0,3,8,76.18046,27.8709,2008,0,98122
176,399.95,5,2.75,183.01891,501.6762,1.0,0,0,3,7,122.63195999999999,60.38695,1986,0,98144
177,385.0,3,1.0,113.34166,445.9344,1.0,0,0,3,6,113.34166,0.0,1901,0,98122
178,269.95,3,1.5,181.16085,702.34668,1.0,0,2,4,7,122.63195999999999,58.52889,1975,0,98022
179,330.0,2,1.0,125.41905,763.66266,1.0,0,0,3,7,98.47718,26.94187,1949,0,98177
180,260.0,3,2.5,155.14801,538.558691,2.0,0,0,3,7,155.14801,0.0,1988,0,98030
181,470.0,4,3.0,221.10914,476.127875,1.5,0,0,4,7,156.07704,65.0321,1925,0,98126
182,589.0,4,3.0,226.68332,891.8688,2.0,0,0,5,7,226.68332,0.0,1961,0,98034
183,163.5,2,1.5,97.54814999999999,317.635357,2.0,0,0,3,7,97.54814999999999,0.0,1996,0,98038
184,835.0,4,2.75,290.78639,1246.015036,2.0,0,0,3,9,198.81242,91.97397,1993,0,98052
185,1095.0,5,3.0,379.97327,1193.80355,1.0,0,2,4,10,194.16727,185.806,1986,0,98033
186,269.0,4,1.75,138.42547,929.03,1.0,0,0,4,8,102.1933,36.232169999999996,1969,0,98023
187,560.0,3,2.5,176.5157,812.343832,2.0,0,0,3,8,176.5157,0.0,1987,0,98074
188,615.0,4,1.0,123.56099,222.9672,1.5,0,0,4,6,123.56099,0.0,1901,0,98103
189,585.188,3,2.25,207.17369,931.445478,1.0,0,0,3,8,132.85129,74.3224,1975,0,98052
190,305.0,3,1.75,153.28995,880.7204399999999,1.0,0,0,3,7,113.34166,39.94829,1977,0,98034
191,166.95,3,1.0,110.55457,819.40446,1.0,0,0,3,6,110.55457,0.0,1959,0,98058
192,799.0,3,2.5,198.81242,919.460991,1.0,0,0,4,8,198.81242,0.0,1959,0,98040
193,400.0,3,2.5,202.52854,697.515724,1.0,0,0,4,7,131.92226,70.60628,1962,0,98133
194,230.0,3,1.0,98.47718,950.2118839999999,1.0,0,0,3,7,98.47718,0.0,1948,0,98155
195,256.883,3,2.5,157.00607,466.837575,2.0,0,0,3,8,157.00607,0.0,2003,0,98023
196,423.0,4,2.0,183.01891,602.01144,1.5,0,0,5,7,104.98039,78.03852,1920,0,98108
197,465.0,3,2.5,199.74145,379.415852,2.0,0,0,3,8,199.74145,0.0,2007,0,98126
198,440.0,3,2.5,177.44473,6151.200533,2.0,0,0,3,7,177.44473,0.0,1997,0,98024
199,385.0,3,1.75,125.41905,14406.746919,1.0,0,0,4,7,125.41905,0.0,1969,0,98038
200,210.0,3,1.0,79.89658,1089.287675,1.0,0,0,4,6,79.89658,0.0,1943,0,98056
201,297.0,3,2.5,180.23182,1389.085656,2.0,0,0,3,8,180.23182,0.0,1994,0,98042
202,470.0,3,1.0,93.83203,464.515,1.0,0,0,3,7,93.83203,0.0,1952,0,98107
203,226.5,3,1.5,120.7739,684.69511,1.0,0,0,4,7,83.6127,37.1612,1976,0,98023
204,274.25,3,1.0,84.54173,785.03035,1.0,0,0,4,6,84.54173,0.0,1962,0,98059
205,840.0,4,1.75,230.39944,1022.86203,1.0,0,0,4,9,151.43189,78.96755,1966,0,98040
206,677.9,3,2.5,226.68332,426.146061,2.0,0,0,3,8,226.68332,0.0,2010,0,98052
207,425.0,3,1.0,93.83203,544.783192,1.0,0,0,3,7,93.83203,0.0,1915,0,98116
208,180.25,2,0.75,83.6127,891.8688,1.0,0,0,3,6,83.6127,0.0,1941,0,98166
209,464.0,6,3.0,213.6769,316.241812,2.0,0,0,3,7,148.6448,65.0321,1920,1994,98133
210,320.0,4,2.25,143.99965,704.111837,2.0,0,0,3,8,143.99965,0.0,1993,0,98038
211,625.504,3,2.25,117.98681,145.486098,2.0,0,0,3,8,98.47718,19.50963,2014,0,98105
212,592.5,4,2.5,208.10272,1117.808896,1.0,0,0,3,9,208.10272,0.0,1983,0,98074
213,465.0,3,2.5,252.138742,1666.308208,2.0,0,0,3,9,252.138742,0.0,2005,0,98001
214,477.0,4,2.75,159.79316,582.50181,2.0,0,0,3,8,159.79316,0.0,1978,0,98118
215,280.0,2,1.0,78.96755,1523.6092,1.0,0,0,3,6,78.96755,0.0,1923,0,98168
217,445.838,3,2.5,209.03175,528.803876,2.0,0,0,3,8,209.03175,0.0,2000,0,98146
218,1072.0,2,2.25,362.3217,1380.910192,1.0,0,3,3,8,181.16085,181.16085,1947,0,98144
219,467.0,2,1.5,122.63195999999999,1003.3524,1.0,0,0,4,8,122.63195999999999,0.0,1947,0,98177
220,686.0,4,2.5,256.41228,598.29532,2.0,0,0,3,10,256.41228,0.0,1999,0,98075
221,279.95,3,2.0,162.58025,905.80425,1.0,0,0,3,7,125.41905,37.1612,1961,0,98198
222,527.0,4,2.25,216.46399,1805.662708,2.0,0,0,3,8,216.46399,0.0,1987,0,98011
223,325.0,3,2.25,206.24466,1488.30606,1.0,0,0,4,8,165.36734,40.87732,1966,0,98030
224,328.0,3,2.25,187.66406,778.4342369999999,2.0,0,0,3,7,187.66406,0.0,1994,0,98038
225,390.0,3,2.25,116.12875,696.7725,1.0,0,0,5,7,116.12875,0.0,1942,0,98146
226,479.95,2,2.0,140.28353,605.355948,1.0,0,0,3,8,140.28353,0.0,2005,0,98053
227,264.95,4,2.25,159.79316,906.082959,1.0,0,0,4,7,104.05136,55.7418,1978,0,98023
228,235.0,3,1.0,132.85129,1416.399138,1.0,0,0,4,7,91.04494,41.80635,1961,0,98031
229,516.5,3,2.5,137.49644,439.338287,2.0,0,0,3,7,137.49644,0.0,2004,0,98053
230,655.0,2,1.75,134.70935,1467.681594,2.0,1,4,3,7,114.27069,20.43866,1915,1978,98166
231,500.0,4,2.75,211.81884,1425.782341,1.0,0,0,5,7,211.81884,0.0,1960,0,98059
232,315.0,6,2.75,273.13482,682.83705,1.0,0,0,3,8,165.36734,107.76748,1978,0,98023
233,213.0,2,1.0,92.903,947.6106,1.0,0,0,3,6,92.903,0.0,1961,0,98024
234,475.0,3,1.5,230.39944,490.52783999999997,1.5,0,0,5,7,150.50286,79.89658,1947,0,98108
235,1025.0,5,4.0,349.31528,2605.00012,2.0,0,0,3,10,349.31528,0.0,1983,0,98033
236,416.0,3,2.0,206.24466,8760.7529,1.0,0,0,5,7,152.36092,53.88374,1976,0,98010
237,410.0,4,1.0,183.01891,440.36021999999997,1.5,0,0,3,7,155.14801,27.8709,1904,2005,98122
238,800.0,3,3.5,355.81849,20557.947452,2.0,0,0,3,10,327.94759,27.8709,1993,0,98077
239,472.0,6,2.5,409.70223,1303.800702,1.0,0,2,4,9,218.32205,191.38018,1965,0,98003
240,225.0,3,1.75,132.85129,790.140015,1.0,0,0,4,7,132.85129,0.0,1968,0,98003
241,210.0,2,1.0,77.10949,557.418,1.0,0,0,3,6,77.10949,0.0,1940,0,98126
242,455.0,2,1.0,132.85129,464.515,1.5,0,0,2,7,132.85129,0.0,1925,0,98115
243,225.0,3,1.0,120.7739,772.581348,1.0,0,0,4,6,120.7739,0.0,1954,0,98002
244,480.0,2,1.0,95.69009,284.28318,1.0,0,2,4,7,73.39337,22.29672,1918,0,98103
245,363.0,3,2.5,254.55422,1102.944416,2.0,0,0,3,9,254.55422,0.0,1990,0,98023
247,181.0,2,1.5,66.89016,475.66336,1.0,0,0,3,6,66.89016,0.0,1954,0,98106
248,250.0,4,2.0,186.73503,679.306736,1.0,0,0,4,7,186.73503,0.0,1976,0,98002
249,481.0,3,1.75,144.92867999999999,278.709,1.0,0,0,4,6,71.53531,73.39337,1918,0,98103
250,260.0,3,2.0,168.15443,669.737727,1.0,0,0,4,7,115.19972,52.95471,1978,0,98032
251,455.0,4,2.5,312.15408,713.959555,2.0,0,0,3,9,312.15408,0.0,2001,0,98058
252,415.0,3,2.25,140.28353,3365.318272,2.0,0,0,3,8,140.28353,0.0,1991,0,98045
253,349.5,3,1.0,130.0642,328.690814,1.0,0,0,3,7,74.3224,55.7418,1953,0,98118
254,245.0,3,2.5,160.72219,691.384126,2.0,0,0,3,7,160.72219,0.0,1987,0,98030
255,592.5,2,2.0,131.92226,853.871473,1.5,0,2,5,7,131.92226,0.0,1928,0,98115
256,385.0,4,1.75,219.25108,707.92086,1.0,0,0,4,7,109.62554,109.62554,1955,0,98106
257,315.0,3,1.75,146.78674,1064.203865,1.0,0,0,4,7,111.4836,35.30314,1974,0,98059
258,255.0,3,1.0,114.27069,944.8235099999999,1.0,0,0,3,7,114.27069,0.0,1979,0,98045
259,693.0,4,2.5,228.54138,411.095775,2.0,0,0,3,8,228.54138,0.0,2006,0,98052
260,780.0,3,1.0,154.21898,408.7732,1.5,0,0,3,8,135.63838,18.5806,1911,0,98112
261,237.0,3,1.75,117.98681,786.88841,1.0,0,0,4,7,117.98681,0.0,1960,0,98198
262,525.0,3,2.25,195.09629999999999,3763.50053,2.0,0,0,3,10,122.63195999999999,72.46433999999999,1979,0,98074
263,425.0,2,1.0,71.53531,468.23112,1.0,0,0,3,5,71.53531,0.0,1930,0,98144
264,369.9,1,0.75,70.60628,936.369337,1.0,1,4,5,5,70.60628,0.0,1936,0,98070
265,290.0,4,2.5,157.9351,676.33384,2.0,0,0,4,7,157.9351,0.0,1988,0,98031
266,285.0,3,1.0,104.05136,994.155003,1.0,0,0,3,7,104.05136,0.0,1954,0,98106
267,415.0,2,1.0,99.40621,418.0635,1.0,0,0,3,7,99.40621,0.0,1937,0,98115
268,272.5,3,2.5,192.30921,919.7397,1.0,0,0,3,8,131.92226,60.38695,1979,0,98023
271,436.0,2,1.0,96.61912,700.302814,1.0,0,0,4,7,96.61912,0.0,1939,0,98133
272,210.0,3,1.0,157.9351,1058.16517,1.0,0,0,4,7,157.9351,0.0,1967,0,98003
273,236.0,3,1.0,120.7739,547.941894,1.0,0,0,3,7,120.7739,0.0,1961,0,98178
274,331.0,3,1.75,100.33524,121.331318,1.0,0,0,3,7,53.88374,46.4515,1954,2003,98199
275,365.0,3,2.5,246.471659,418.99253,2.0,0,0,3,8,246.471659,0.0,2006,0,98031
